Num,Month,Passengers
1,January_2018,283275
2,February_2018,289247
3,March_2018,317579
4,April_2018,307974
5,May_2018,286414
6,June_2018,289977
7,July_2018,284264
8,August_2018,324728
9,September_2018,297127
10,October_2018,334599
11,November_2018,336918
12,December_2018,346801
13,January_2019,268095
14,February_2019,244369
15,March_2019,270805
16,April_2019,262857
17,May_2019,222922
18,June_2019,259812
19,July_2019,200708
20,August_2019,183162
21,September_2019,164867
22,October_2019,180549
23,November_2019,183601
24,December_2019,194254
